diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,confidence
12,2,0,0,0.68,0.62,0.97,0.677
1,2,0,3,0.91,0.91,0.85,0.846
1,5,0,2,0.94,0.77,0.74,0.766
17,5,0,3,0.86,0.91,0.82,0.747
0,3,1,4,0.59,0.92,0.79,0.786
15,0,1,5,0.56,0.86,0.97,0.77
2,1,0,0,0.82,0.94,0.73,0.809
12,2,0,5,0.69,0.77,0.83,0.697
7,4,0,2,0.9,0.7,0.94,0.761
16,1,1,3,0.74,0.9,0.87,0.804
21,4,1,5,0.65,0.9,0.81,0.724
16,2,1,3,0.8,0.84,0.84,0.79
12,5,1,2,0.57,0.62,0.98,0.671
9,3,1,1,0.98,0.67,0.72,0.784
17,1,1,0,0.61,0.72,0.94,0.722
25,2,0,2,0.56,0.89,0.91,0.667
2,4,1,4,0.9,0.7,0.87,0.814
0,2,0,0,0.78,0.71,0.86,0.752
10,5,0,0,0.97,0.93,0.7,0.785
5,0,1,2,0.72,0.61,0.97,0.776
21,4,1,5,0.56,0.83,0.7,0.654
19,0,1,2,0.91,0.91,0.87,0.857
17,2,1,2,0.79,0.89,0.82,0.795
25,3,0,5,0.79,0.93,0.85,0.728
5,4,0,0,0.65,0.93,0.8,0.734
1,4,0,4,0.95,0.73,0.89,0.795
4,5,0,3,0.7,0.87,0.75,0.716
14,5,0,1,0.79,0.65,0.94,0.682
19,2,0,4,0.6,0.68,0.78,0.61
3,5,0,4,0.72,0.66,0.9,0.692
19,2,0,4,0.8,0.97,0.78,0.757
22,4,0,2,0.71,0.95,0.8,0.701
0,1,1,4,0.55,0.91,0.92,0.814
17,3,1,0,0.75,0.87,0.73,0.75
8,4,0,0,0.66,0.92,0.95,0.754
14,5,0,4,0.63,0.64,0.68,0.579
21,0,1,0,0.57,0.93,0.66,0.712
21,3,1,4,0.81,0.83,0.83,0.763
25,5,1,5,0.81,0.87,0.76,0.731
10,2,0,0,0.9,0.93,0.67,0.783
11,1,0,3,0.79,0.8,0.73,0.728
23,4,1,0,0.62,0.89,0.83,0.709
9,3,0,4,0.64,0.71,0.96,0.692
14,3,1,5,0.88,0.61,0.7,0.715
9,4,1,4,0.97,0.78,0.86,0.834
14,2,1,0,0.79,0.64,0.71,0.708
10,0,0,1,0.82,0.86,0.94,0.809
3,3,0,4,0.72,0.62,0.7,0.657
14,1,0,2,0.81,0.89,0.88,0.781
22,2,0,2,0.94,0.82,0.97,0.782
21,0,1,1,0.68,0.73,0.7,0.693
11,3,1,1,0.85,0.79,0.77,0.784
4,0,1,1,0.76,0.96,0.72,0.847
24,4,0,5,0.57,0.87,0.82,0.633
10,1,0,3,0.81,0.87,0.66,0.744
16,3,0,5,0.91,0.69,0.94,0.74
3,0,1,4,0.66,0.86,0.68,0.782
8,0,0,1,0.7,0.86,0.75,0.741
5,3,1,2,0.85,0.89,0.66,0.812
24,3,1,5,0.9,0.72,0.94,0.769
2,0,1,4,0.56,0.82,0.77,0.761
5,2,0,3,0.56,0.63,0.78,0.63
11,4,1,0,0.93,0.89,0.7,0.816
6,4,0,1,0.68,0.7,0.76,0.663
4,4,1,3,0.9,0.83,0.85,0.842
20,0,1,5,0.69,0.78,0.93,0.76
11,0,1,1,0.64,0.65,0.98,0.746
13,3,0,3,0.71,0.8,0.9,0.715
21,3,0,3,0.71,0.94,0.96,0.742
8,0,1,1,0.67,0.81,0.97,0.811
11,2,1,4,0.8,0.84,0.9,0.819
18,1,0,3,0.74,0.85,0.78,0.715
0,5,0,3,0.69,0.84,0.85,0.737
6,3,0,3,0.6,0.67,0.67,0.62
0,4,0,4,0.72,0.96,0.7,0.761
19,5,0,5,0.66,0.81,0.69,0.624
10,2,1,4,0.9,0.66,0.86,0.79
25,1,1,1,0.95,0.75,0.88,0.794
7,5,0,0,0.57,0.66,0.7,0.594
9,2,0,5,0.6,0.9,0.91,0.735
5,0,0,5,0.67,0.83,0.83,0.749
17,2,0,3,0.65,0.88,0.76,0.688
20,0,0,3,0.61,0.82,0.72,0.656
21,5,0,0,0.64,0.63,0.87,0.593
13,3,0,5,0.59,0.88,0.74,0.671
1,3,0,4,0.82,0.92,0.86,0.816
20,1,1,4,0.62,0.89,0.96,0.77
9,2,1,5,0.69,0.91,0.81,0.795
25,1,1,5,0.9,0.88,0.85,0.812
8,1,0,1,0.59,0.76,0.74,0.668
21,3,1,3,0.63,0.91,0.8,0.727
5,4,1,0,0.76,0.7,0.9,0.768
8,5,1,2,0.65,0.62,0.87,0.687
2,3,1,3,0.56,0.79,0.72,0.717
14,2,0,5,0.92,0.72,0.69,0.717
8,4,1,0,0.81,0.65,0.84,0.746
22,4,0,4,0.56,0.75,0.8,0.596
21,0,1,3,0.73,0.67,0.83,0.716
23,0,1,5,0.69,0.7,0.76,0.692
15,5,1,4,0.9,0.76,0.95,0.796
4,1,0,4,0.76,0.65,0.8,0.711
0,0,0,0,0.78,0.71,0.75,0.747
16,0,0,2,0.62,0.74,0.69,0.643
23,0,1,1,0.9,0.96,0.92,0.865
24,4,1,3,0.76,0.88,0.71,0.721
20,5,1,4,0.96,0.62,0.98,0.762
15,2,1,4,0.68,0.91,0.94,0.798
7,4,0,1,0.85,0.67,0.71,0.691
19,4,1,2,0.76,0.93,0.86,0.782
21,5,0,3,0.86,0.62,0.81,0.644
19,0,1,0,0.8,0.61,0.85,0.73
12,3,0,5,0.68,0.61,0.88,0.648
8,2,0,0,0.57,0.95,0.79,0.721
25,4,1,1,0.58,0.83,0.75,0.656
11,3,0,3,0.71,0.78,0.81,0.697
2,5,0,2,0.69,0.65,0.97,0.698
17,3,1,2,0.75,0.81,0.8,0.746
15,3,1,2,0.78,0.86,0.79,0.775
2,1,1,2,0.87,0.67,0.89,0.825
6,1,0,2,0.79,0.62,0.89,0.723
15,4,1,0,0.91,0.71,0.86,0.775
0,0,0,5,0.96,0.72,0.89,0.832
23,4,0,3,0.72,0.95,0.95,0.731
13,1,1,1,0.67,0.89,0.7,0.756
4,3,1,2,0.97,0.76,0.94,0.869
17,4,0,0,0.82,0.88,0.88,0.746
10,2,0,3,0.62,0.65,0.91,0.663
23,0,1,5,0.91,0.64,0.71,0.73
0,0,0,3,0.74,0.7,0.97,0.776
8,4,1,0,0.86,0.76,0.72,0.77
16,5,1,1,0.97,0.6,0.73,0.722
21,3,1,3,0.88,0.77,0.85,0.77
25,1,1,2,0.56,0.69,0.9,0.663
18,1,1,3,0.98,0.72,0.78,0.798
6,2,1,3,0.6,0.95,0.87,0.802
21,1,0,0,0.9,0.75,0.73,0.713
11,5,1,2,0.57,0.71,0.87,0.68
22,0,1,3,0.81,0.72,0.71,0.728
17,3,0,0,0.75,0.79,0.77,0.684
3,2,0,2,0.91,0.96,0.76,0.836
18,3,0,5,0.92,0.78,0.72,0.719
2,5,0,0,0.95,0.72,0.94,0.791
18,2,0,2,0.82,0.75,0.67,0.678
12,5,1,5,0.84,0.95,0.91,0.837
5,0,0,4,0.62,0.94,0.72,0.745
9,4,1,5,0.66,0.95,0.97,0.814
0,3,0,2,0.73,0.64,0.87,0.71
23,4,0,3,0.71,0.78,0.67,0.621
23,1,1,3,0.62,0.67,0.7,0.642
7,3,1,2,0.93,0.97,0.66,0.854
3,5,0,1,0.74,0.96,0.74,0.756
20,2,1,5,0.82,0.91,0.87,0.81
12,3,1,2,0.71,0.9,0.74,0.766
1,5,0,0,0.83,0.8,0.96,0.786
4,1,1,5,0.59,0.86,0.67,0.747
25,4,1,4,0.87,0.96,0.79,0.79
0,3,1,0,0.72,0.82,0.86,0.809
8,4,1,5,0.82,0.74,0.97,0.802
14,3,1,3,0.61,0.93,0.81,0.752
6,0,0,1,0.87,0.9,0.92,0.845
10,4,0,4,0.9,0.63,0.82,0.706
20,1,1,0,0.98,0.91,0.95,0.882
7,0,0,4,0.6,0.81,0.73,0.696
13,4,1,0,0.87,0.89,0.8,0.811
4,3,0,1,0.59,0.64,0.78,0.637
16,2,0,3,0.89,0.9,0.9,0.797
12,2,0,4,0.8,0.63,0.86,0.694
5,4,0,4,0.97,0.78,0.78,0.781
14,3,1,0,0.79,0.73,0.86,0.756
4,5,1,0,0.79,0.9,0.76,0.804
6,5,0,2,0.61,0.91,0.89,0.722
25,0,0,3,0.78,0.63,0.78,0.646
14,5,1,3,0.83,0.81,0.89,0.782
8,2,1,3,0.97,0.64,0.71,0.782
12,0,0,0,0.57,0.76,0.72,0.653
16,1,0,4,0.87,0.86,0.88,0.783
1,1,1,3,0.71,0.78,0.94,0.823
8,1,0,0,0.88,0.73,0.86,0.77
9,1,1,1,0.64,0.76,0.7,0.722
2,1,0,2,0.91,0.69,0.65,0.745
13,0,1,5,0.96,0.73,0.92,0.848
2,2,0,0,0.74,0.8,0.74,0.737
7,4,0,2,0.75,0.81,0.82,0.725
2,3,1,0,0.9,0.76,0.88,0.842
19,0,0,1,0.76,0.81,0.96,0.75
8,3,1,5,0.83,0.65,0.72,0.736
19,3,1,0,0.83,0.88,0.67,0.759
6,4,0,5,0.63,0.71,0.71,0.641
13,2,1,0,0.58,0.63,0.66,0.635
5,1,1,1,0.88,0.61,0.86,0.794
15,4,1,4,0.56,0.97,0.92,0.76
24,2,0,3,0.92,0.89,0.95,0.786
9,1,1,1,0.61,0.78,0.74,0.727
7,2,0,3,0.78,0.93,0.79,0.781
2,3,0,4,0.98,0.7,0.74,0.77
14,2,1,3,0.89,0.65,0.67,0.733
22,2,0,4,0.59,0.8,0.79,0.635
9,2,0,3,0.81,0.85,0.78,0.757
12,1,0,0,0.79,0.95,0.87,0.798
18,1,1,4,0.69,0.7,0.69,0.687
10,5,1,2,0.74,0.92,0.92,0.807
4,0,0,4,0.89,0.68,0.69,0.746
23,4,0,4,0.64,0.66,0.9,0.61
24,3,1,4,0.94,0.73,0.98,0.792
25,2,1,1,0.58,0.77,0.75,0.655
11,3,0,2,0.9,0.73,0.92,0.761
9,1,1,1,0.79,0.78,0.69,0.771
5,1,1,0,0.82,0.69,0.74,0.776
10,0,1,1,0.84,0.73,0.74,0.786
16,4,0,0,0.62,0.68,0.73,0.599
21,0,0,3,0.74,0.76,0.72,0.674
0,4,1,0,0.57,0.63,0.86,0.699
19,5,1,1,0.78,0.63,0.8,0.678
0,2,1,1,0.56,0.81,0.94,0.782
9,4,0,0,0.71,0.95,0.84,0.753
17,0,1,3,0.61,0.66,0.93,0.71
8,2,1,4,0.87,0.94,0.81,0.862
0,1,0,5,0.64,0.76,0.82,0.726
15,4,0,3,0.73,0.87,0.66,0.679
16,2,1,1,0.79,0.83,0.66,0.748
16,0,0,5,0.91,0.64,0.98,0.758
3,5,1,3,0.58,0.69,0.94,0.717
11,2,0,1,0.55,0.67,0.85,0.633
18,1,0,1,0.61,0.84,0.79,0.675
11,4,0,3,0.74,0.66,0.97,0.694
12,3,1,4,0.88,0.97,0.93,0.876
21,0,0,2,0.76,0.86,0.96,0.758
15,3,0,4,0.69,0.77,0.67,0.647
10,0,0,2,0.78,0.92,0.68,0.763
16,1,1,5,0.97,0.93,0.77,0.862
13,0,1,5,0.8,0.74,0.81,0.781
19,2,0,0,0.94,0.95,0.7,0.777
7,3,0,3,0.79,0.79,0.68,0.712
14,5,1,0,0.6,0.82,0.79,0.696
21,3,0,0,0.93,0.71,0.69,0.685
11,3,0,0,0.9,0.89,0.78,0.781
17,5,0,0,0.59,0.76,0.84,0.625
23,4,1,0,0.7,0.84,0.66,0.684
10,0,1,2,0.77,0.76,0.88,0.802
5,3,1,0,0.63,0.75,0.73,0.718
22,4,1,4,0.72,0.71,0.82,0.686
23,1,0,4,0.6,0.69,0.7,0.592
20,5,0,5,0.72,0.89,0.93,0.711
13,4,1,1,0.7,0.84,0.94,0.773
14,1,0,2,0.66,0.91,0.96,0.758
2,4,0,5,0.56,0.94,0.74,0.708
21,1,0,4,0.66,0.85,0.92,0.709
19,2,1,0,0.66,0.72,0.96,0.726
10,4,0,2,0.69,0.66,0.98,0.684
10,4,0,5,0.59,0.71,0.78,0.629
14,5,0,3,0.59,0.82,0.71,0.627
19,2,0,0,0.94,0.87,0.93,0.799
14,1,1,3,0.93,0.97,0.67,0.849
2,2,1,1,0.71,0.9,0.84,0.828
25,4,1,5,0.72,0.78,0.86,0.705
20,1,1,2,0.64,0.91,0.84,0.758
6,3,1,5,0.78,0.81,0.66,0.764
8,4,0,0,0.57,0.81,0.87,0.678
24,4,1,0,0.97,0.79,0.85,0.785
20,4,1,3,0.86,0.69,0.84,0.733
11,5,0,0,0.58,0.6,0.83,0.592
11,4,0,0,0.76,0.71,0.79,0.679
13,2,1,0,0.88,0.65,0.85,0.769
14,4,1,0,0.77,0.94,0.94,0.821
14,4,1,1,0.97,0.8,0.88,0.827
9,1,1,0,0.71,0.89,0.91,0.824
24,1,0,2,0.82,0.91,0.78,0.737
25,0,0,0,0.84,0.94,0.89,0.779
25,4,1,3,0.86,0.82,0.86,0.759
21,0,0,1,0.83,0.85,0.88,0.76
14,1,1,0,0.68,0.87,0.77,0.764
13,2,1,4,0.75,0.84,0.67,0.751
10,3,0,2,0.63,0.9,0.72,0.695
21,0,1,2,0.74,0.73,0.69,0.709
2,0,0,3,0.55,0.83,0.81,0.719
11,5,0,2,0.72,0.62,0.77,0.628
10,2,0,0,0.93,0.64,0.88,0.747
9,4,1,4,0.64,0.61,0.97,0.706
2,0,1,3,0.64,0.8,0.83,0.791
2,5,0,2,0.9,0.73,0.91,0.773
9,2,0,1,0.88,0.64,0.79,0.717
13,4,0,1,0.92,0.8,0.87,0.763
23,0,1,0,0.84,0.74,0.89,0.775
9,0,1,0,0.61,0.83,0.85,0.772
9,2,0,3,0.71,0.75,0.9,0.721
1,3,0,0,0.73,0.79,0.78,0.734
4,5,0,0,0.56,0.79,0.84,0.668
19,4,1,2,0.74,0.86,0.96,0.775
15,2,0,1,0.64,0.95,0.67,0.694
15,3,0,4,0.82,0.63,0.84,0.678
20,2,0,5,0.68,0.78,0.74,0.653
8,0,0,4,0.57,0.75,0.88,0.695
15,3,0,0,0.97,0.65,0.76,0.713
3,4,1,3,0.65,0.69,0.93,0.745
13,0,1,0,0.89,0.75,0.96,0.841
14,5,0,4,0.75,0.62,0.81,0.635
3,3,0,0,0.66,0.69,0.68,0.656
14,5,0,0,0.98,0.65,0.76,0.703
4,1,1,1,0.77,0.82,0.86,0.827
22,4,0,3,0.91,0.8,0.81,0.718
14,2,0,1,0.69,0.93,0.72,0.717
2,5,1,5,0.88,0.77,0.93,0.833
19,3,1,0,0.67,0.77,0.92,0.728
8,4,0,3,0.84,0.84,0.72,0.738
4,3,1,1,0.84,0.82,0.75,0.81
5,2,1,3,0.86,0.82,0.67,0.805
6,4,0,2,0.84,0.72,0.68,0.701
5,5,1,5,0.89,0.72,0.8,0.785
13,1,0,5,0.93,0.64,0.76,0.721
20,4,1,3,0.93,0.92,0.93,0.841
22,1,1,3,0.57,0.96,0.69,0.715
4,3,0,4,0.83,0.77,0.75,0.742
14,5,1,4,0.92,0.88,0.82,0.816
2,4,0,2,0.88,0.8,0.7,0.754
4,1,1,3,0.8,0.9,0.71,0.83
25,1,1,2,0.68,0.63,0.73,0.647
2,3,1,2,0.73,0.61,0.86,0.742
13,5,1,3,0.55,0.76,0.82,0.672
21,1,0,1,0.97,0.67,0.95,0.754
19,5,0,5,0.66,0.72,0.84,0.627
25,1,0,5,0.96,0.91,0.74,0.767
23,1,1,1,0.97,0.78,0.67,0.774
13,5,1,0,0.67,0.79,0.93,0.739
15,1,1,4,0.95,0.6,0.85,0.777
12,5,1,4,0.82,0.92,0.9,0.82
10,4,1,0,0.86,0.94,0.73,0.819
20,5,0,5,0.58,0.8,0.78,0.612
0,1,0,5,0.66,0.64,0.97,0.726
1,2,1,1,0.59,0.8,0.92,0.781
3,3,1,5,0.97,0.74,0.94,0.866
8,5,1,5,0.57,0.84,0.69,0.693
20,2,0,2,0.95,0.73,0.91,0.753
4,0,0,5,0.81,0.61,0.71,0.705
4,3,0,2,0.89,0.92,0.88,0.831
15,4,1,4,0.9,0.84,0.65,0.769
13,4,1,2,0.6,0.66,0.91,0.683
18,0,0,5,0.81,0.85,0.87,0.762
21,5,0,5,0.83,0.73,0.67,0.64
1,5,1,3,0.71,0.81,0.71,0.753
14,4,0,3,0.62,0.74,0.68,0.614
16,5,0,2,0.95,0.6,0.85,0.69
20,2,1,1,0.64,0.61,0.77,0.646
17,1,0,2,0.77,0.6,0.97,0.69
13,3,1,3,0.96,0.69,0.97,0.821
2,4,1,5,0.76,0.85,0.92,0.827
12,3,1,0,0.85,0.92,0.89,0.844
2,4,1,1,0.95,0.82,0.77,0.845
16,0,0,2,0.94,0.6,0.69,0.697
21,0,1,4,0.84,0.69,0.94,0.777
0,2,1,0,0.59,0.64,0.67,0.686
14,1,1,3,0.93,0.71,0.81,0.799
12,3,0,3,0.89,0.79,0.82,0.753
0,1,0,0,0.74,0.96,0.87,0.826
10,4,1,1,0.6,0.67,0.84,0.682
25,5,1,2,0.82,0.81,0.95,0.754
10,2,1,3,0.88,0.96,0.82,0.866
12,2,1,5,0.76,0.72,0.91,0.769
13,5,0,2,0.79,0.72,0.98,0.714
22,1,1,0,0.78,0.78,0.89,0.764
4,5,1,1,0.57,0.79,0.78,0.709
16,3,1,3,0.85,0.89,0.92,0.828
21,0,0,3,0.68,0.64,0.83,0.642
18,0,1,2,0.97,0.91,0.95,0.894
5,0,0,1,0.94,0.73,0.8,0.794
15,5,0,0,0.74,0.86,0.73,0.684
6,5,1,1,0.77,0.86,0.78,0.783
9,4,0,2,0.7,0.79,0.88,0.71
10,3,1,3,0.93,0.62,0.89,0.785
3,0,1,3,0.97,0.92,0.81,0.919
21,0,1,0,0.7,0.84,0.92,0.776
3,4,0,3,0.89,0.79,0.8,0.771
17,5,0,2,0.56,0.75,0.72,0.589
10,5,1,0,0.63,0.81,0.68,0.693
3,4,0,0,0.79,0.8,0.69,0.722
14,4,1,5,0.77,0.84,0.84,0.771
7,3,0,5,0.69,0.93,0.96,0.78
24,3,1,1,0.92,0.92,0.76,0.799
17,2,0,0,0.85,0.84,0.73,0.73
7,0,1,0,0.63,0.92,0.96,0.834
21,4,0,1,0.91,0.64,0.79,0.67
18,0,1,4,0.66,0.64,0.8,0.69
18,1,0,2,0.74,0.63,0.82,0.657
11,5,1,1,0.92,0.84,0.77,0.804
13,0,1,3,0.84,0.82,0.96,0.847
10,2,1,2,0.58,0.63,0.71,0.655
13,0,0,3,0.97,0.73,0.82,0.781
24,0,0,0,0.61,0.73,0.87,0.646
8,5,1,2,0.97,0.87,0.74,0.832
17,2,0,2,0.68,0.71,0.7,0.634
11,5,1,2,0.93,0.77,0.73,0.778
16,1,0,2,0.74,0.86,0.77,0.722
13,4,1,5,0.97,0.6,0.74,0.742
24,0,1,3,0.78,0.6,0.71,0.676
23,0,0,1,0.98,0.7,0.83,0.743
14,2,0,5,0.58,0.68,0.92,0.649
14,5,0,4,0.87,0.75,0.89,0.726
16,1,0,0,0.91,0.85,0.84,0.784
14,2,0,5,0.84,0.65,0.93,0.72
1,4,1,1,0.85,0.64,0.65,0.74
25,4,0,1,0.72,0.91,0.86,0.694
10,3,1,2,0.72,0.67,0.85,0.729
25,3,0,4,0.93,0.66,0.69,0.657
11,2,1,1,0.94,0.67,0.67,0.764
17,5,0,5,0.55,0.67,0.89,0.596
20,2,1,1,0.78,0.86,0.94,0.797
3,1,1,5,0.61,0.71,0.94,0.766
6,1,1,0,0.7,0.74,0.86,0.776
22,0,0,5,0.6,0.71,0.96,0.662
12,0,0,5,0.89,0.8,0.85,0.787
6,4,0,1,0.68,0.62,0.86,0.659
12,1,1,4,0.63,0.87,0.65,0.732
8,0,1,5,0.85,0.73,0.75,0.797
7,3,0,1,0.78,0.6,0.94,0.704
17,3,0,2,0.96,0.88,0.68,0.756
21,1,0,5,0.77,0.72,0.86,0.691
6,2,0,5,0.63,0.91,0.65,0.705
9,3,0,0,0.68,0.87,0.66,0.692
9,1,0,2,0.82,0.96,0.84,0.814
24,5,0,1,0.95,0.75,0.67,0.672
11,0,0,3,0.91,0.88,0.72,0.794
2,0,1,2,0.65,0.71,0.85,0.771
