diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,accuracy
24,4,0,5,0.57,0.87,0.82,35
10,1,0,3,0.81,0.87,0.66,64
16,3,0,5,0.91,0.69,0.94,49
3,0,1,4,0.66,0.86,0.68,99
8,0,0,1,0.7,0.86,0.75,73
5,3,1,2,0.85,0.89,0.66,89
24,3,1,5,0.9,0.72,0.94,62
2,0,1,4,0.56,0.82,0.77,100
5,2,0,3,0.56,0.63,0.78,65
11,4,1,0,0.93,0.89,0.7,85
6,4,0,1,0.68,0.7,0.76,60
4,4,1,3,0.9,0.83,0.85,83
20,0,1,5,0.69,0.78,0.93,80
11,0,1,1,0.64,0.65,0.98,100
13,3,0,3,0.71,0.8,0.9,48
21,3,0,3,0.71,0.94,0.96,47
8,0,1,1,0.67,0.81,0.97,100
11,2,1,4,0.8,0.84,0.9,83
18,1,0,3,0.74,0.85,0.78,53
0,5,0,3,0.69,0.84,0.85,50
6,3,0,3,0.6,0.67,0.67,59
0,4,0,4,0.72,0.96,0.7,63
19,5,0,5,0.66,0.81,0.69,35
10,2,1,4,0.9,0.66,0.86,83
25,1,1,1,0.95,0.75,0.88,83
7,5,0,0,0.57,0.66,0.7,57
9,2,0,5,0.6,0.9,0.91,50
5,0,0,5,0.67,0.83,0.83,73
17,2,0,3,0.65,0.88,0.76,44
20,0,0,3,0.61,0.82,0.72,52
21,5,0,0,0.64,0.63,0.87,37
13,3,0,5,0.59,0.88,0.74,38
1,3,0,4,0.82,0.92,0.86,55
20,1,1,4,0.62,0.89,0.96,79
9,2,1,5,0.69,0.91,0.81,82
25,1,1,5,0.9,0.88,0.85,72
8,1,0,1,0.59,0.76,0.74,76
21,3,1,3,0.63,0.91,0.8,70
5,4,1,0,0.76,0.7,0.9,90
8,5,1,2,0.65,0.62,0.87,74
2,3,1,3,0.56,0.79,0.72,87
14,2,0,5,0.92,0.72,0.69,54
8,4,1,0,0.81,0.65,0.84,86
22,4,0,4,0.56,0.75,0.8,35
21,0,1,3,0.73,0.67,0.83,84
23,0,1,5,0.69,0.7,0.76,76
15,5,1,4,0.9,0.76,0.95,64
4,1,0,4,0.76,0.65,0.8,72
0,0,0,0,0.78,0.71,0.75,90
16,0,0,2,0.62,0.74,0.69,67
23,0,1,1,0.9,0.96,0.92,92
24,4,1,3,0.76,0.88,0.71,62
20,5,1,4,0.96,0.62,0.98,59
15,2,1,4,0.68,0.91,0.94,79
7,4,0,1,0.85,0.67,0.71,56
19,4,1,2,0.76,0.93,0.86,71
21,5,0,3,0.86,0.62,0.81,36
19,0,1,0,0.8,0.61,0.85,95
12,3,0,5,0.68,0.61,0.88,46
8,2,0,0,0.57,0.95,0.79,74
25,4,1,1,0.58,0.83,0.75,66
11,3,0,3,0.71,0.78,0.81,50
2,5,0,2,0.69,0.65,0.97,59
17,3,1,2,0.75,0.81,0.8,77
15,3,1,2,0.78,0.86,0.79,80
2,1,1,2,0.87,0.67,0.89,100
6,1,0,2,0.79,0.62,0.89,77
15,4,1,0,0.91,0.71,0.86,80
0,0,0,5,0.96,0.72,0.89,70
23,4,0,3,0.72,0.95,0.95,43
13,1,1,1,0.67,0.89,0.7,94
4,3,1,2,0.97,0.76,0.94,92
17,4,0,0,0.82,0.88,0.88,47
10,2,0,3,0.62,0.65,0.91,53
23,0,1,5,0.91,0.64,0.71,76
0,0,0,3,0.74,0.7,0.97,82
8,4,1,0,0.86,0.76,0.72,87
16,5,1,1,0.97,0.6,0.73,70
21,3,1,3,0.88,0.77,0.85,71
25,1,1,2,0.56,0.69,0.9,78
18,1,1,3,0.98,0.72,0.78,83
6,2,1,3,0.6,0.95,0.87,91
21,1,0,0,0.9,0.75,0.73,61
11,5,1,2,0.57,0.71,0.87,72
22,0,1,3,0.81,0.72,0.71,83
17,3,0,0,0.75,0.79,0.77,63
3,2,0,2,0.91,0.96,0.76,73
18,3,0,5,0.92,0.78,0.72,37
2,5,0,0,0.95,0.72,0.94,59
18,2,0,2,0.82,0.75,0.67,56
12,5,1,5,0.84,0.95,0.91,65
5,0,0,4,0.62,0.94,0.72,76
9,4,1,5,0.66,0.95,0.97,73
0,3,0,2,0.73,0.64,0.87,62
23,4,0,3,0.71,0.78,0.67,40
23,1,1,3,0.62,0.67,0.7,76
7,3,1,2,0.93,0.97,0.66,88
3,5,0,1,0.74,0.96,0.74,62
20,2,1,5,0.82,0.91,0.87,72
12,3,1,2,0.71,0.9,0.74,82
1,5,0,0,0.83,0.8,0.96,63
4,1,1,5,0.59,0.86,0.67,90
25,4,1,4,0.87,0.96,0.79,60
0,3,1,0,0.72,0.82,0.86,100
8,4,1,5,0.82,0.74,0.97,73
14,3,1,3,0.61,0.93,0.81,77
6,0,0,1,0.87,0.9,0.92,79
10,4,0,4,0.9,0.63,0.82,43
20,1,1,0,0.98,0.91,0.95,93
7,0,0,4,0.6,0.81,0.73,65
13,4,1,0,0.87,0.89,0.8,83
4,3,0,1,0.59,0.64,0.78,57
16,2,0,3,0.89,0.9,0.9,61
12,2,0,4,0.8,0.63,0.86,57
5,4,0,4,0.97,0.78,0.78,45
14,3,1,0,0.79,0.73,0.86,86
4,5,1,0,0.79,0.9,0.76,87
6,5,0,2,0.61,0.91,0.89,57
25,0,0,3,0.78,0.63,0.78,48
14,5,1,3,0.83,0.81,0.89,68
8,2,1,3,0.97,0.64,0.71,87
12,0,0,0,0.57,0.76,0.72,77
16,1,0,4,0.87,0.86,0.88,56
1,1,1,3,0.71,0.78,0.94,100
8,1,0,0,0.88,0.73,0.86,77
9,1,1,1,0.64,0.76,0.7,96
2,1,0,2,0.91,0.69,0.65,72
13,0,1,5,0.96,0.73,0.92,88
2,2,0,0,0.74,0.8,0.74,78
7,4,0,2,0.75,0.81,0.82,53
2,3,1,0,0.9,0.76,0.88,99
19,0,0,1,0.76,0.81,0.96,64
8,3,1,5,0.83,0.65,0.72,76
19,3,1,0,0.83,0.88,0.67,81
6,4,0,5,0.63,0.71,0.71,51
13,2,1,0,0.58,0.63,0.66,89
5,1,1,1,0.88,0.61,0.86,100
15,4,1,4,0.56,0.97,0.92,69
24,2,0,3,0.92,0.89,0.95,50
9,1,1,1,0.61,0.78,0.74,97
7,2,0,3,0.78,0.93,0.79,57
2,3,0,4,0.98,0.7,0.74,59
14,2,1,3,0.89,0.65,0.67,81
22,2,0,4,0.59,0.8,0.79,44
9,2,0,3,0.81,0.85,0.78,67
12,1,0,0,0.79,0.95,0.87,78
18,1,1,4,0.69,0.7,0.69,78
10,5,1,2,0.74,0.92,0.92,76
4,0,0,4,0.89,0.68,0.69,64
23,4,0,4,0.64,0.66,0.9,35
24,3,1,4,0.94,0.73,0.98,65
25,2,1,1,0.58,0.77,0.75,76
11,3,0,2,0.9,0.73,0.92,56
9,1,1,1,0.79,0.78,0.69,97
5,1,1,0,0.82,0.69,0.74,100
10,0,1,1,0.84,0.73,0.74,100
16,4,0,0,0.62,0.68,0.73,55
21,0,0,3,0.74,0.76,0.72,54
0,4,1,0,0.57,0.63,0.86,93
19,5,1,1,0.78,0.63,0.8,67
0,2,1,1,0.56,0.81,0.94,100
9,4,0,0,0.71,0.95,0.84,53
17,0,1,3,0.61,0.66,0.93,88
8,2,1,4,0.87,0.94,0.81,87
0,1,0,5,0.64,0.76,0.82,59
15,4,0,3,0.73,0.87,0.66,36
16,2,1,1,0.79,0.83,0.66,86
16,0,0,5,0.91,0.64,0.98,51
3,5,1,3,0.58,0.69,0.94,77
11,2,0,1,0.55,0.67,0.85,62
18,1,0,1,0.61,0.84,0.79,60
11,4,0,3,0.74,0.66,0.97,53
12,3,1,4,0.88,0.97,0.93,79
21,0,0,2,0.76,0.86,0.96,56
15,3,0,4,0.69,0.77,0.67,41
10,0,0,2,0.78,0.92,0.68,66
16,1,1,5,0.97,0.93,0.77,81
13,0,1,5,0.8,0.74,0.81,87
19,2,0,0,0.94,0.95,0.7,60
7,3,0,3,0.79,0.79,0.68,56
14,5,1,0,0.6,0.82,0.79,75
21,3,0,0,0.93,0.71,0.69,57
11,3,0,0,0.9,0.89,0.78,63
17,5,0,0,0.59,0.76,0.84,50
23,4,1,0,0.7,0.84,0.66,71
10,0,1,2,0.77,0.76,0.88,99
5,3,1,0,0.63,0.75,0.73,94
22,4,1,4,0.72,0.71,0.82,60
23,1,0,4,0.6,0.69,0.7,40
20,5,0,5,0.72,0.89,0.93,35
13,4,1,1,0.7,0.84,0.94,80
14,1,0,2,0.66,0.91,0.96,67
2,4,0,5,0.56,0.94,0.74,43
21,1,0,4,0.66,0.85,0.92,56
19,2,1,0,0.66,0.72,0.96,86
10,4,0,2,0.69,0.66,0.98,52
10,4,0,5,0.59,0.71,0.78,44
14,5,0,3,0.59,0.82,0.71,39
19,2,0,0,0.94,0.87,0.93,54
14,1,1,3,0.93,0.97,0.67,88
2,2,1,1,0.71,0.9,0.84,100
25,4,1,5,0.72,0.78,0.86,55
20,1,1,2,0.64,0.91,0.84,85
6,3,1,5,0.78,0.81,0.66,78
8,4,0,0,0.57,0.81,0.87,55
24,4,1,0,0.97,0.79,0.85,72
20,4,1,3,0.86,0.69,0.84,66
11,5,0,0,0.58,0.6,0.83,56
11,4,0,0,0.76,0.71,0.79,48
13,2,1,0,0.88,0.65,0.85,92
14,4,1,0,0.77,0.94,0.94,83
14,4,1,1,0.97,0.8,0.88,80
9,1,1,0,0.71,0.89,0.91,100
24,1,0,2,0.82,0.91,0.78,50
25,0,0,0,0.84,0.94,0.89,69
25,4,1,3,0.86,0.82,0.86,62
21,0,0,1,0.83,0.85,0.88,61
14,1,1,0,0.68,0.87,0.77,96
13,2,1,4,0.75,0.84,0.67,79
10,3,0,2,0.63,0.9,0.72,60
21,0,1,2,0.74,0.73,0.69,87
2,0,0,3,0.55,0.83,0.81,82
11,5,0,2,0.72,0.62,0.77,41
10,2,0,0,0.93,0.64,0.88,72
9,4,1,4,0.64,0.61,0.97,73
2,0,1,3,0.64,0.8,0.83,100
2,5,0,2,0.9,0.73,0.91,63
9,2,0,1,0.88,0.64,0.79,64
13,4,0,1,0.92,0.8,0.87,46
23,0,1,0,0.84,0.74,0.89,92
9,0,1,0,0.61,0.83,0.85,100
9,2,0,3,0.71,0.75,0.9,65
1,3,0,0,0.73,0.79,0.78,65
4,5,0,0,0.56,0.79,0.84,54
19,4,1,2,0.74,0.86,0.96,71
15,2,0,1,0.64,0.95,0.67,61
15,3,0,4,0.82,0.63,0.84,40
20,2,0,5,0.68,0.78,0.74,44
8,0,0,4,0.57,0.75,0.88,59
15,3,0,0,0.97,0.65,0.76,59
3,4,1,3,0.65,0.69,0.93,82
13,0,1,0,0.89,0.75,0.96,100
14,5,0,4,0.75,0.62,0.81,35
3,3,0,0,0.66,0.69,0.68,75
14,5,0,0,0.98,0.65,0.76,56
4,1,1,1,0.77,0.82,0.86,100
22,4,0,3,0.91,0.8,0.81,35
14,2,0,1,0.69,0.93,0.72,60
2,5,1,5,0.88,0.77,0.93,74
19,3,1,0,0.67,0.77,0.92,81
8,4,0,3,0.84,0.84,0.72,48
4,3,1,1,0.84,0.82,0.75,93
5,2,1,3,0.86,0.82,0.67,91
6,4,0,2,0.84,0.72,0.68,62
5,5,1,5,0.89,0.72,0.8,70
13,1,0,5,0.93,0.64,0.76,47
20,4,1,3,0.93,0.92,0.93,69
22,1,1,3,0.57,0.96,0.69,79
4,3,0,4,0.83,0.77,0.75,57
14,5,1,4,0.92,0.88,0.82,66
2,4,0,2,0.88,0.8,0.7,60
4,1,1,3,0.8,0.9,0.71,97
25,1,1,2,0.68,0.63,0.73,77
2,3,1,2,0.73,0.61,0.86,91
13,5,1,3,0.55,0.76,0.82,67
21,1,0,1,0.97,0.67,0.95,64
19,5,0,5,0.66,0.72,0.84,35
25,1,0,5,0.96,0.91,0.74,44
23,1,1,1,0.97,0.78,0.67,84
13,5,1,0,0.67,0.79,0.93,77
15,1,1,4,0.95,0.6,0.85,83
12,5,1,4,0.82,0.92,0.9,68
10,4,1,0,0.86,0.94,0.73,86
20,5,0,5,0.58,0.8,0.78,35
0,1,0,5,0.66,0.64,0.97,63
1,2,1,1,0.59,0.8,0.92,100
3,3,1,5,0.97,0.74,0.94,83
8,5,1,5,0.57,0.84,0.69,66
20,2,0,2,0.95,0.73,0.91,54
4,0,0,5,0.81,0.61,0.71,73
4,3,0,2,0.89,0.92,0.88,70
15,4,1,4,0.9,0.84,0.65,68
13,4,1,2,0.6,0.66,0.91,75
18,0,0,5,0.81,0.85,0.87,50
21,5,0,5,0.83,0.73,0.67,35
1,5,1,3,0.71,0.81,0.71,79
14,4,0,3,0.62,0.74,0.68,44
16,5,0,2,0.95,0.6,0.85,42
20,2,1,1,0.64,0.61,0.77,80
17,1,0,2,0.77,0.6,0.97,64
13,3,1,3,0.96,0.69,0.97,79
2,4,1,5,0.76,0.85,0.92,79
12,3,1,0,0.85,0.92,0.89,90
2,4,1,1,0.95,0.82,0.77,91
16,0,0,2,0.94,0.6,0.69,59
21,0,1,4,0.84,0.69,0.94,82
0,2,1,0,0.59,0.64,0.67,100
14,1,1,3,0.93,0.71,0.81,87
12,3,0,3,0.89,0.79,0.82,51
0,1,0,0,0.74,0.96,0.87,87
10,4,1,1,0.6,0.67,0.84,80
25,5,1,2,0.82,0.81,0.95,60
10,2,1,3,0.88,0.96,0.82,88
12,2,1,5,0.76,0.72,0.91,78
13,5,0,2,0.79,0.72,0.98,48
22,1,1,0,0.78,0.78,0.89,88
4,5,1,1,0.57,0.79,0.78,82
16,3,1,3,0.85,0.89,0.92,77
21,0,0,3,0.68,0.64,0.83,58
18,0,1,2,0.97,0.91,0.95,94
5,0,0,1,0.94,0.73,0.8,82
15,5,0,0,0.74,0.86,0.73,40
6,5,1,1,0.77,0.86,0.78,81
9,4,0,2,0.7,0.79,0.88,57
10,3,1,3,0.93,0.62,0.89,81
3,0,1,3,0.97,0.92,0.81,100
21,0,1,0,0.7,0.84,0.92,95
3,4,0,3,0.89,0.79,0.8,61
17,5,0,2,0.56,0.75,0.72,39
10,5,1,0,0.63,0.81,0.68,79
3,4,0,0,0.79,0.8,0.69,60
14,4,1,5,0.77,0.84,0.84,67
7,3,0,5,0.69,0.93,0.96,51
24,3,1,1,0.92,0.92,0.76,75
17,2,0,0,0.85,0.84,0.73,65
7,0,1,0,0.63,0.92,0.96,100
21,4,0,1,0.91,0.64,0.79,46
18,0,1,4,0.66,0.64,0.8,83
18,1,0,2,0.74,0.63,0.82,63
11,5,1,1,0.92,0.84,0.77,77
13,0,1,3,0.84,0.82,0.96,95
10,2,1,2,0.58,0.63,0.71,86
13,0,0,3,0.97,0.73,0.82,64
24,0,0,0,0.61,0.73,0.87,66
8,5,1,2,0.97,0.87,0.74,77
17,2,0,2,0.68,0.71,0.7,54
11,5,1,2,0.93,0.77,0.73,73
16,1,0,2,0.74,0.86,0.77,54
13,4,1,5,0.97,0.6,0.74,66
24,0,1,3,0.78,0.6,0.71,80
23,0,0,1,0.98,0.7,0.83,62
14,2,0,5,0.58,0.68,0.92,50
14,5,0,4,0.87,0.75,0.89,39
16,1,0,0,0.91,0.85,0.84,71
14,2,0,5,0.84,0.65,0.93,50
1,4,1,1,0.85,0.64,0.65,89
25,4,0,1,0.72,0.91,0.86,47
10,3,1,2,0.72,0.67,0.85,83
25,3,0,4,0.93,0.66,0.69,40
11,2,1,1,0.94,0.67,0.67,90
17,5,0,5,0.55,0.67,0.89,35
20,2,1,1,0.78,0.86,0.94,83
3,1,1,5,0.61,0.71,0.94,91
6,1,1,0,0.7,0.74,0.86,100
22,0,0,5,0.6,0.71,0.96,45
12,0,0,5,0.89,0.8,0.85,68
6,4,0,1,0.68,0.62,0.86,63
12,1,1,4,0.63,0.87,0.65,85
8,0,1,5,0.85,0.73,0.75,92
7,3,0,1,0.78,0.6,0.94,64
17,3,0,2,0.96,0.88,0.68,53
21,1,0,5,0.77,0.72,0.86,41
6,2,0,5,0.63,0.91,0.65,50
9,3,0,0,0.68,0.87,0.66,60
9,1,0,2,0.82,0.96,0.84,69
24,5,0,1,0.95,0.75,0.67,39
11,0,0,3,0.91,0.88,0.72,76
2,0,1,2,0.65,0.71,0.85,100
